cohort,level,variable,camera_id,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,log2_fnumber,HONOR/BVL-AN00,2.0,severe,98,98,0,2,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.925999418556223,0.9282194359995364,1.0,0.9267545265301392,0.007475187564377442,0.0,0.0,0.925999418556223,0.9897959183673469
all_exif_522,patient_group_median,aperture_value_from_f,HONOR/BVL-AN00,2.0,severe,98,98,0,2,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.8564388719990728,2.0,1.8535090530602785,0.014950375128754884,0.0,0.0,1.851998837112446,0.9897959183673469
all_exif_522,patient_group_median,time_value_from_t,HONOR/BVL-AN00,2.0,severe,98,98,0,16,5.044394119358453,5.044394119358453,5.044394119358453,5.643856189774724,6.4828921423310435,6.643856189774724,7.171299204823875,8.683509132256793,8.813781191217037,6.207450239142032,0.7239881320618959,1.0,0.742713413585121,6.643856189774724,0.41836734693877553
all_exif_522,patient_group_median,EV100,HONOR/BVL-AN00,2.0,severe,98,98,0,17,6.8963929564708994,6.8963929564708994,6.8963929564708994,7.49585502688717,8.33489097944349,8.49585502688717,9.02329804193632,10.535507969369238,10.665780028329483,8.060959292202309,0.7229539972791305,1.0,0.668712832141344,8.49585502688717,0.41836734693877553
all_exif_522,patient_group_median,relative_optical_exposure,HONOR/BVL-AN00,2.0,severe,98,98,0,17,-10.665780028329483,-10.535507969369238,-9.023298041936323,-8.49585502688717,-8.33489097944349,-7.49585502688717,-6.8963929564708994,-6.8963929564708994,-6.8963929564708994,-8.060959292202309,0.7229539972791305,1.0,0.668712832141344,-8.49585502688717,0.41836734693877553
all_exif_522,patient_group_median,combined_exposure_gain,HONOR/BVL-AN00,2.0,severe,98,98,0,33,-10.261389773250148,-10.211639221414199,-9.164236026504327,-7.49585502688717,-6.49585502688717,-5.254408955721649,-4.170031837125159,-3.8867351136242783,-3.5744648615835373,-6.521333106517207,1.5395322896043162,2.2414460711655213,1.0,-6.49585502688717,0.12244897959183673
all_exif_522,patient_group_median,sensitivity_value,HONOR/BVL-AN00,2.0,severe,98,98,0,16,4.0,4.0,4.356143810225276,6.0,6.678071905112637,7.321928094887363,8.0,8.342270252040741,9.0,6.539626185685102,1.1227370810675719,1.3219280948873626,0.6780719051126374,6.0,0.15306122448979592
all_exif_522,patient_group_median,brightness_apex_pred,HONOR/BVL-AN00,2.0,severe,98,98,0,33,-1.4255351384164623,-1.1132648863757215,-0.8299681628748421,0.25440895572164846,1.4958550268871704,2.4958550268871704,4.164236026504326,5.211639221414199,5.261389773250148,1.5213331065172069,1.5395322896043162,2.241446071165522,1.0,1.4958550268871704,0.12244897959183673
all_exif_522,patient_group_median,brightness_residual,HONOR/BVL-AN00,2.0,severe,98,98,0,78,-1.2858550268871705,-1.0724550268871704,-1.0361442411202748,-0.9573010980526925,-0.8877831217745327,-0.8030297860638298,-0.6890879753375178,0.37741679344407525,0.6960730680001923,-0.8484759636600638,0.24444939365555285,0.15427131198886268,0.0812330122355458,-0.9839269319998079,0.04081632653061224
all_exif_522,patient_group_median,device_centered_brightness,HONOR/BVL-AN00,2.0,severe,98,98,0,90,-1.3410138248847927,-1.2069124423963133,-1.0700460829493088,-0.5115207373271891,0.06451612903225802,0.4516129032258065,1.392165898617511,1.7370046082949313,1.8755760368663597,0.052007899934167226,0.7317611572240539,0.9631336405529956,0.45622119815668205,-1.1013824884792627,0.02040816326530612
all_exif_522,patient_group_median,ExposureTime,Xiaomi/M2006J10C,0.0,normal,115,115,0,7,0.009036,0.010002,0.0100027,0.020004,0.020004,0.030006,0.040008,0.040008,0.050009,0.023474591304347828,0.007857436900624288,0.010002,0.0,0.020004,0.5478260869565217
all_exif_522,patient_group_median,FNumber,Xiaomi/M2006J10C,0.0,normal,115,115,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,5.35239260126032e-15,0.0,0.0,1.89,1.0
all_exif_522,patient_group_median,ISOSpeedRatings,Xiaomi/M2006J10C,0.0,normal,115,115,0,92,50.0,57.7,73.4,128.0,176.0,235.0,456.0,602.28,1115.0,207.36521739130436,137.51620832282796,107.0,55.0,128.0,0.02608695652173913
all_exif_522,patient_group_median,BrightnessValue,Xiaomi/M2006J10C,0.0,normal,115,115,0,46,4.3,5.014,5.61,6.85,7.7,8.350000000000001,9.559999999999999,10.486,10.8,7.580869565217393,1.2344396876666968,1.5000000000000018,0.7999999999999998,7.2,0.05217391304347826
all_exif_522,patient_group_median,log2_exposure_time,Xiaomi/M2006J10C,0.0,normal,115,115,0,7,-6.79010001393109,-6.643567679616601,-6.643466716204508,-5.643567679616601,-5.643567679616601,-5.058605178895445,-4.643567679616601,-4.643567679616601,-4.321668433148858,-5.49665560916043,0.5089397722419061,0.5849625007211561,0.0,-5.643567679616601,0.5478260869565217
