m,h,shading,specular,illuminant_name,deltae00
0.1,0.2,0.5,0.1,A,0.020175939424
0.1,0.2,0.5,0.1,FL2,0.0119524558203
0.1,0.2,0.5,0.1,FL11,0.0755801654523
0.1,0.2,1.0,0.0,D65,0.0512537383338
0.1,0.2,1.0,0.0,A,0.0293074584111
0.1,0.2,1.0,0.0,FL2,0.01614182536
0.1,0.2,1.0,0.0,FL11,0.0964127184873
0.1,0.2,1.0,0.03,D65,0.0499087340813
0.1,0.2,1.0,0.03,A,0.0282933139262
0.1,0.2,1.0,0.03,FL2,0.0157874139087
0.1,0.2,1.0,0.03,FL11,0.0948238919218
0.1,0.2,1.0,0.1,D65,0.0469524596197
0.1,0.2,1.0,0.1,A,0.0262758706238
0.1,0.2,1.0,0.1,FL2,0.0150301018936
0.1,0.2,1.0,0.1,FL11,0.0915622995976
0.1,0.2,1.5,0.0,D65,0.0545568591278
0.1,0.2,1.5,0.0,A,0.0317086797389
0.1,0.2,1.5,0.0,FL2,0.0170506209646
0.1,0.2,1.5,0.0,FL11,0.102903185685
0.1,0.2,1.5,0.03,D65,0.0537180143966
0.1,0.2,1.5,0.03,A,0.0309807134804
0.1,0.2,1.5,0.03,FL2,0.016782673671
0.1,0.2,1.5,0.03,FL11,0.101391593947
0.1,0.2,1.5,0.1,D65,0.0519178513875
0.1,0.2,1.5,0.1,A,0.0295012293101
0.1,0.2,1.5,0.1,FL2,0.0162675870998
0.1,0.2,1.5,0.1,FL11,0.0985099208035
0.1,0.3,0.5,0.0,D65,0.0465661233881
0.1,0.3,0.5,0.0,A,0.0257300965621
0.1,0.3,0.5,0.0,FL2,0.0156122347304
0.1,0.3,0.5,0.0,FL11,0.0906930084127
0.1,0.3,0.5,0.03,D65,0.0433049138891
0.1,0.3,0.5,0.03,A,0.023750334189
0.1,0.3,0.5,0.03,FL2,0.014678857839
0.1,0.3,0.5,0.03,FL11,0.0868711207663
