fold,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
3,forehead_minus_cheek_log2_bg,stage2b_mlp_calibrated,57,-0.16363345575910132,-0.15796847148818841,0.11479852287495083,42,-0.13186170203739325,-0.13861840396909092,0.10983750148385654,-0.031771753721708068,-0.019350067519097486,0.11272823784129826,-0.28184378936568821
4,cheek_mean_log2_y,raw,50,-1.7126480620590214,-1.7110650972348607,0.21324193751775369,50,-2.4771431953271175,-2.4306524831966243,0.52160339309720039,0.76449513326809604,0.71958738596176364,0.39846092882918782,1.9186200652456435
4,cheek_mean_log2_y,stage2a_ridge_calibrated,50,-1.9106784223704703,-1.9008287980235361,0.1954731468376443,50,-2.2001784811176064,-2.201890646586893,0.53501325616443918,0.28950005874713614,0.30106184856335694,0.40277098667002259,0.71877088551145885
4,cheek_mean_log2_y,stage2b_mlp_calibrated,50,-1.9066192715858918,-1.8813649641005195,0.1898882238247534,50,-2.17416210400983,-2.2145125662590237,0.52383175936680859,0.26754283242393817,0.33314760215850425,0.3939906405415271,0.67905885291135193
4,cheek_mean_log2_rg,raw,50,0.93094079415262954,0.94324455955983011,0.11808868963122963,50,1.0747560272990189,1.0858132931121824,0.15701239290140756,-0.14381523314638933,-0.14256873355235233,0.13892053509731175,-1.0352337978373674
4,cheek_mean_log2_rg,stage2a_ridge_calibrated,50,0.97922238780260495,0.98992681762580492,0.1183109085309403,50,1.0187197706314119,1.0222904185094137,0.15594412363739077,-0.039497382828806993,-0.03236360088360879,0.13841250083437251,-0.28535993924472502
4,cheek_mean_log2_rg,stage2b_mlp_calibrated,50,0.9696300188178556,1.0033207614662798,0.11233564874554496,50,1.0184128998962569,1.0325109006559587,0.15739488206544827,-0.048782881078401341,-0.029190139189678943,0.1367341341426471,-0.35677178477986254
4,cheek_mean_log2_bg,raw,50,-0.5907819730479017,-0.58621963514108355,0.12790916428366325,50,-0.57449993033928759,-0.59167456945699448,0.16326112126697082,-0.016282042708614108,0.0054549343159109309,0.14665426694285733,-0.1110233138661985
4,cheek_mean_log2_bg,stage2a_ridge_calibrated,50,-0.57639904337827585,-0.56933894821237896,0.11420788950606604,50,-0.60160357826148125,-0.62483858139386128,0.16388178154509239,0.025204534883205398,0.055499633181482322,0.14124567311571562,0.17844465127477968
4,cheek_mean_log2_bg,stage2b_mlp_calibrated,50,-0.57395172407056061,-0.5596305398785999,0.11653331533460483,50,-0.60735054848253633,-0.62321849343389002,0.16652641341538957,0.033398824411975725,0.063587953555290122,0.14372031858416484,0.23238763134536788
4,forehead_minus_cheek_log2_y,raw,48,-0.064153561394754033,-0.044489015260990805,0.24564817574941503,49,-0.022671815653638721,-0.063967065492424299,0.41155687745724789,-0.041481745741115308,0.019478050231433494,0.33975714664350626,-0.12209234198873369
4,forehead_minus_cheek_log2_y,stage2a_ridge_calibrated,48,-0.053342455562726682,-0.061094948667481455,0.23191206712071549,49,-0.05708938760937822,-0.094865582883171901,0.4114450949960507,0.0037469320466515382,0.033770634215690445,0.33487766659678786,0.011188957701270243
4,forehead_minus_cheek_log2_y,stage2b_mlp_calibrated,48,-0.057432456643322007,-0.058814640637874546,0.22673116886298184,49,-0.057760170319924274,-0.10628201720046331,0.41401240875936773,0.00032771367660226758,0.047467376562588759,0.33472111343498767,0.00097906484965705302
4,forehead_minus_cheek_log2_rg,raw,48,-0.032497219069812226,-0.025094962678918201,0.11767983797348704,49,-0.093832664852075406,-0.1129491159804101,0.13103008165392682,0.06133544578226318,0.087854153301491905,0.12460412812254981,0.49224248591458347
4,forehead_minus_cheek_log2_rg,stage2a_ridge_calibrated,48,-0.057037113820332865,-0.056662456316991155,0.11322849312816524,49,-0.057324888176251622,-0.080687380991949803,0.13129502783582139,0.00028777435591875733,0.024024924674958648,0.1226898080907234,0.0023455441034349127
4,forehead_minus_cheek_log2_rg,stage2b_mlp_calibrated,48,-0.056027793278675873,-0.059331090496671055,0.11127905433307402,49,-0.056132641427989481,-0.075927276994532805,0.13311727605909379,0.00010484814931360775,0.016596186497861751,0.12279946655816913,0.00085381599979460839
4,forehead_minus_cheek_log2_bg,raw,48,-0.10034630405711631,-0.075045446320575998,0.11925035573100808,49,-0.18084523320981422,-0.18253197597378901,0.10728512505841407,0.080498929152697907,0.10748652965321301,0.11336272161309006,0.71010053399602435
4,forehead_minus_cheek_log2_bg,stage2a_ridge_calibrated,48,-0.13488086038736044,-0.109363577569021,0.11783215616905243,49,-0.14371738373088477,-0.14376211850674911,0.10480763850965596,0.0088365233435243329,0.034398540937728109,0.11144176542073909,0.079292743704864832
4,forehead_minus_cheek_log2_bg,stage2b_mlp_calibrated,48,-0.13643705053696639,-0.10930340443187204,0.11814433575826007,49,-0.141158357094989,-0.1468125838861549,0.10350632903691376,0.0047213065580226088,0.037509179454282851,0.11098984489375309,0.042538185025325151
